"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000069956"	1.76180894161893	4.06221066976828	129.242778069268	1.98635721964801e-11	1.95654588841147e-07
"ENSG00000102245"	-2.04474847504459	4.02277163182815	126.66913608555	2.45958853368484e-11	1.95654588841147e-07
"ENSG00000100906"	2.1366832753908	8.22927361860808	120.907584626561	4.02257940517995e-11	1.95654588841147e-07
"ENSG00000090554"	-1.52851822604723	5.97643527394193	119.92281026841	4.38398663696921e-11	1.95654588841147e-07
"ENSG00000196329"	-2.69674626020864	5.85943527874026	117.439248080896	5.46070773026276e-11	1.95654588841147e-07
"ENSG00000168685"	-1.78949185545379	7.09127867158858	116.847426776609	5.75737637795503e-11	1.95654588841147e-07
"ENSG00000111716"	-1.52697795591833	8.13867296397923	116.589163065579	5.89225073788967e-11	1.95654588841147e-07
"ENSG00000167920"	-2.32253685115335	2.30800983076408	115.44639793169	6.53134450544202e-11	1.95654588841147e-07
"ENSG00000174500"	-2.36127057243324	2.4758796984422	112.830083960284	8.29442984906593e-11	2.20862234814294e-07
"ENSG00000187601"	-1.41562282517301	3.81790339024519	109.596151903093	1.12162845608685e-10	2.29168743725188e-07
"ENSG00000163519"	-1.96995372318775	4.88191751342908	109.567933792066	1.12462190497695e-10	2.29168743725188e-07
"ENSG00000089012"	-2.22804156905825	3.59952967760329	109.069359787135	1.178959038941e-10	2.29168743725188e-07
"ENSG00000154359"	2.22297086606772	2.06164887403678	108.511441925529	1.24314361294698e-10	2.29168743725188e-07
"ENSG00000179144"	-2.32318181200632	7.66639750523126	106.953077125705	1.44326155518348e-10	2.35342739217076e-07
"ENSG00000137078"	-1.89882530815293	4.36897280259323	106.741283086009	1.47304030388322e-10	2.35342739217076e-07
"ENSG00000105835"	3.73376982507698	8.94102179769223	104.789633849688	1.7808601566984e-10	2.61264085839311e-07
"ENSG00000237651"	-1.82689581532405	4.28772983148689	103.809186052006	1.96112602663856e-10	2.61264085839311e-07
"ENSG00000123689"	5.31995486631302	9.3507123970765	103.80290548703	1.96234239311813e-10	2.61264085839311e-07
"ENSG00000185022"	2.48047984609779	3.1725366454734	100.441024258802	2.74695997049891e-10	3.46478398384244e-07
"ENSG00000175592"	2.61199833306117	2.71752223323291	97.2224791564155	3.82341161396602e-10	4.4111396301201e-07
"ENSG00000165272"	-2.18006394024396	5.05923939559735	96.3676089321014	4.18055251181353e-10	4.4111396301201e-07
"ENSG00000179833"	1.220762092095	4.32151045317361	96.3428497964127	4.19141851417662e-10	4.4111396301201e-07
"ENSG00000169429"	4.412784937168	8.2179457233863	96.2475768164666	4.2335160230654e-10	4.4111396301201e-07
"ENSG00000258102"	3.2098984314074	2.88686273917831	95.3738189267789	4.64158983047729e-10	4.48804343273872e-07
"ENSG00000087263"	-1.34963105465835	6.50302994214023	95.2195144567336	4.71796852509539e-10	4.48804343273872e-07
"ENSG00000133561"	-1.99237667147634	5.43944166127442	94.9218904407953	4.86914789281063e-10	4.48804343273872e-07
"ENSG00000102738"	-1.42994939426401	4.98175452565089	93.9869192065415	5.37908851379814e-10	4.77443911974713e-07
"ENSG00000142867"	1.13509707206624	4.68029279748875	93.5256643749642	5.6516450269514e-10	4.83720260967465e-07
"ENSG00000178988"	-1.29958710863059	5.24915315834128	92.3323842322358	6.42839230804492e-10	5.13402335748828e-07
"ENSG00000148926"	3.9640743378157	4.36119015687195	92.0052680012571	6.66092013588565e-10	5.13402335748828e-07
"ENSG00000152495"	-1.76955266856493	4.22114825338595	91.9655103943044	6.68979452123939e-10	5.13402335748828e-07
"ENSG00000144655"	2.15713707860526	4.64324712371088	91.7410561129474	6.85536187939182e-10	5.13402335748828e-07
"ENSG00000197019"	1.47115889663692	4.51228542235313	90.8183488676919	7.58395796354884e-10	5.19812743794551e-07
"ENSG00000168569"	-1.25559597506889	4.0246448609675	90.8177702046524	7.58444030374224e-10	5.19812743794551e-07
"ENSG00000179094"	1.85580379485331	5.4330978682061	90.8090970624006	7.59167370448958e-10	5.19812743794551e-07
"ENSG00000243927"	-1.1248684241182	6.82935388229732	89.7967220007959	8.48941619024664e-10	5.64938087421866e-07
"ENSG00000173276"	1.64478666583639	4.18076015892408	89.5530620084255	8.72218202988067e-10	5.64938087421866e-07
"ENSG00000072274"	1.25147559264513	4.88525395646164	88.9617186010541	9.31623149945838e-10	5.70161693452957e-07
"ENSG00000143515"	-1.22993643153588	3.83387370168678	88.6848471027388	9.60925459376525e-10	5.70161693452957e-07
"ENSG00000154814"	-1.45038006443251	5.3297478807642	88.5609693407926	9.74356664382641e-10	5.70161693452957e-07
"ENSG00000113263"	-1.21559615386507	6.09168677933438	88.3896072280578	9.9327135857572e-10	5.70161693452957e-07
"ENSG00000120705"	1.33182265504326	6.07850223847516	88.3362614423951	9.99240188818034e-10	5.70161693452957e-07
"ENSG00000198833"	1.31087133741278	5.14821250205179	87.4052774048865	1.1098893788411e-09	6.18569743347138e-07
"ENSG00000157978"	-1.66455442191824	4.59884082973664	86.9842799808948	1.16420716148217e-09	6.33980417236188e-07
"ENSG00000162747"	6.54032565219852	7.35905245207054	86.7884197502214	1.19044935429286e-09	6.33980417236188e-07
"ENSG00000172005"	-2.50332102231512	6.59710070610633	86.1585342644735	1.27926495061011e-09	6.66469229160247e-07
"ENSG00000104856"	1.7163916377522	4.2964699171658	84.7948965955555	1.49702969360971e-09	7.6332588526291e-07
"ENSG00000001630"	1.43027582350869	4.44307282036876	84.3272692995733	1.580663873092e-09	7.89179369138536e-07
"ENSG00000166889"	0.982788093681761	4.24368859767077	84.0077456155125	1.64070357914709e-09	8.02437985188982e-07
"ENSG00000167604"	1.83077019476213	4.7558970291429	83.4518626217251	1.7511042662522e-09	8.24664575509059e-07
"ENSG00000134294"	1.05445828918375	5.75151196910634	83.4330818328968	1.75497155647661e-09	8.24664575509059e-07
"ENSG00000225151"	-1.8378024553366	2.8034228216418	83.0795223810881	1.82952275098913e-09	8.39408704593395e-07
"ENSG00000133574"	-1.93754867086497	7.26048776537474	82.9558495881962	1.85640147479449e-09	8.39408704593395e-07
"ENSG00000149474"	-1.90638583481347	2.23574657903696	82.5091466385536	1.95709435408625e-09	8.68551225845868e-07
"ENSG00000170852"	1.34127138496	4.87256366200432	81.9687960144463	2.08684395522291e-09	9.09294825216674e-07
"ENSG00000178726"	4.05115682268451	3.03662091157623	81.743204876119	2.14373468520258e-09	9.1740360233714e-07
"ENSG00000145632"	2.40457248189934	1.36112380598483	81.4395338729819	2.22297484978589e-09	9.3462442587928e-07
"ENSG00000145780"	1.70646353344494	2.4497535477554	79.7406925554811	2.72878393865549e-09	1.12750529465308e-06
"ENSG00000142546"	-1.53361516559071	6.90598205737043	79.4772037456857	2.81779317329239e-09	1.14454937962631e-06
"ENSG00000112149"	2.20938723996765	6.58059407620522	79.1054093573068	2.94876158969074e-09	1.17778452494898e-06
"ENSG00000099860"	1.66060007586406	4.5986781542924	78.8597148412232	3.03890736570373e-09	1.19389204949328e-06
"ENSG00000167286"	-1.65046378747278	8.47430471255531	78.5202639828763	3.16838046260456e-09	1.21368797119112e-06
"ENSG00000130164"	1.66494165467518	4.32121974376516	78.3529209399008	3.23438886053693e-09	1.21368797119112e-06
"ENSG00000211778"	-2.30366961546541	2.1477536899823	78.3357935049086	3.24122804741212e-09	1.21368797119112e-06
"ENSG00000120063"	1.35414268045685	4.69337342588962	78.1678816934944	3.30911001564559e-09	1.2143076568107e-06
"ENSG00000227417"	1.86009719272595	2.2079732182573	78.0824795961559	3.34422304817469e-09	1.2143076568107e-06
