"gene"	"qval"
"ENSG00000025293"	"ENSG00000025293"	0
"ENSG00000110700"	"ENSG00000110700"	0
"ENSG00000113558"	"ENSG00000113558"	0
"ENSG00000120616"	"ENSG00000120616"	0
"ENSG00000124813"	"ENSG00000124813"	0
"ENSG00000144677"	"ENSG00000144677"	0
"ENSG00000156482"	"ENSG00000156482"	0
"ENSG00000156976"	"ENSG00000156976"	0
"ENSG00000175768"	"ENSG00000175768"	0
"ENSG00000180596"	"ENSG00000180596"	0
"ENSG00000188313"	"ENSG00000188313"	0
"ENSG00000213741"	"ENSG00000213741"	0
"ENSG00000179335"	"ENSG00000179335"	5.05894471613234e-13
"ENSG00000142534"	"ENSG00000142534"	2.34879576106144e-12
"ENSG00000103966"	"ENSG00000103966"	2.63065125238882e-12
"ENSG00000166012"	"ENSG00000166012"	4.11039258185752e-12
"ENSG00000143549"	"ENSG00000143549"	5.80290717438709e-12
"ENSG00000029639"	"ENSG00000029639"	6.57662813097204e-12
"ENSG00000154473"	"ENSG00000154473"	8.65345806706847e-12
"ENSG00000169554"	"ENSG00000169554"	1.67704017339787e-11
"ENSG00000132963"	"ENSG00000132963"	1.69113294796424e-11
"ENSG00000129460"	"ENSG00000129460"	2.03277596775499e-11
"ENSG00000100902"	"ENSG00000100902"	2.24701461141545e-11
"ENSG00000229833"	"ENSG00000229833"	2.28752282816419e-11
"ENSG00000168769"	"ENSG00000168769"	2.47281217724549e-11
"ENSG00000137776"	"ENSG00000137776"	2.90889321177609e-11
"ENSG00000112200"	"ENSG00000112200"	4.87157639331262e-11
"ENSG00000142227"	"ENSG00000142227"	5.94245327548545e-11
"ENSG00000136003"	"ENSG00000136003"	6.33548509950307e-11
"ENSG00000068745"	"ENSG00000068745"	6.34984785059369e-11
"ENSG00000185485"	"ENSG00000185485"	6.76756249606478e-11
"ENSG00000132300"	"ENSG00000132300"	9.94715004809521e-11
"ENSG00000099622"	"ENSG00000099622"	1.00044464295393e-10
"ENSG00000140264"	"ENSG00000140264"	1.42558086250776e-10
"ENSG00000149273"	"ENSG00000149273"	1.59154400769523e-10
"ENSG00000083799"	"ENSG00000083799"	1.61675441553063e-10
"ENSG00000205937"	"ENSG00000205937"	1.85212067904672e-10
"ENSG00000082074"	"ENSG00000082074"	1.96433498122454e-10
"ENSG00000164919"	"ENSG00000164919"	2.34735034828541e-10
"ENSG00000121542"	"ENSG00000121542"	2.49747453273663e-10
"ENSG00000131023"	"ENSG00000131023"	3.26264917521881e-10
"ENSG00000126391"	"ENSG00000126391"	3.3039727038931e-10
"ENSG00000080822"	"ENSG00000080822"	4.40787029615382e-10
"ENSG00000197170"	"ENSG00000197170"	5.12976994215819e-10
"ENSG00000078304"	"ENSG00000078304"	5.32122289441538e-10
"ENSG00000147604"	"ENSG00000147604"	6.11054535473359e-10
"ENSG00000213782"	"ENSG00000213782"	6.32475726638162e-10
"ENSG00000132965"	"ENSG00000132965"	6.84106338707154e-10
"ENSG00000180817"	"ENSG00000180817"	8.49592981001082e-10
"ENSG00000113387"	"ENSG00000113387"	1.05120824045457e-09
"ENSG00000155329"	"ENSG00000155329"	1.28089504362638e-09
"ENSG00000151247"	"ENSG00000151247"	1.36439738994089e-09
"ENSG00000115484"	"ENSG00000115484"	1.49053692658936e-09
"ENSG00000133112"	"ENSG00000133112"	1.529066040451e-09
"ENSG00000106028"	"ENSG00000106028"	1.55299136003091e-09
"ENSG00000169093"	"ENSG00000169093"	1.55866086704037e-09
"ENSG00000160593"	"ENSG00000160593"	1.57767330109173e-09
"ENSG00000100316"	"ENSG00000100316"	1.57903763288880e-09
"ENSG00000134248"	"ENSG00000134248"	1.58567201829258e-09
"ENSG00000054118"	"ENSG00000054118"	1.59757258348196e-09
"ENSG00000144401"	"ENSG00000144401"	1.60168762057521e-09
"ENSG00000109685"	"ENSG00000109685"	1.7164999421837e-09
"ENSG00000109332"	"ENSG00000109332"	1.72042470413283e-09
"ENSG00000144152"	"ENSG00000144152"	2.1451111286569e-09
"ENSG00000166398"	"ENSG00000166398"	2.38994666279524e-09
"ENSG00000182718"	"ENSG00000182718"	3.08483717694898e-09
"ENSG00000100664"	"ENSG00000100664"	3.08502754519881e-09
"ENSG00000111678"	"ENSG00000111678"	3.22864083670941e-09
"ENSG00000075415"	"ENSG00000075415"	3.23989483228988e-09
"ENSG00000132581"	"ENSG00000132581"	3.26379263774054e-09
"ENSG00000117859"	"ENSG00000117859"	3.33175686257653e-09
"ENSG00000112592"	"ENSG00000112592"	4.76394500237287e-09
"ENSG00000121274"	"ENSG00000121274"	5.20661739141462e-09
"ENSG00000164691"	"ENSG00000164691"	5.38074829137258e-09
"ENSG00000143633"	"ENSG00000143633"	5.5554093147947e-09
